epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,758.946,0.46856,0.35483,1.01541,0.88486,0.97091,0.995,0.9328,0.50019,0.36617,1.05008,0.000568856,0.000568856,0.000568856
154,763.896,0.45885,0.34673,1.01812,0.90489,0.95586,0.995,0.91438,0.51814,0.38332,1.04542,0.000563197,0.000563197,0.000563197
155,768.746,0.44919,0.33244,0.99945,0.95147,0.91042,0.97417,0.9046,0.52886,0.35473,1.08323,0.000557539,0.000557539,0.000557539
156,773.606,0.45522,0.33698,1.00316,0.95511,0.89903,0.97273,0.90046,0.61132,0.34551,1.19178,0.00055188,0.00055188,0.00055188
157,778.44,0.45758,0.33756,1.01066,0.92999,0.85463,0.98833,0.91332,0.54469,0.45808,1.12347,0.000546221,0.000546221,0.000546221
158,783.323,0.46975,0.34536,1.00991,0.85741,0.88889,0.89925,0.82052,0.58742,0.618,1.1394,0.000540562,0.000540562,0.000540562
159,788.248,0.44076,0.33037,0.99612,0.8586,0.90062,0.91802,0.80864,0.56472,0.63649,1.13414,0.000534903,0.000534903,0.000534903
160,793.281,0.44108,0.32146,0.99605,0.93694,0.85927,0.96452,0.86807,0.51565,0.52784,1.06952,0.000529244,0.000529244,0.000529244
161,798.102,0.45045,0.32507,1.00002,0.88442,0.86772,0.95136,0.85791,0.51014,0.62724,1.04369,0.000523586,0.000523586,0.000523586
162,802.978,0.44845,0.32046,1.00487,0.91565,0.85914,0.93651,0.8695,0.50921,0.59043,1.03278,0.000517927,0.000517927,0.000517927
163,807.995,0.43843,0.31394,0.99998,0.9056,0.86912,0.98167,0.90393,0.5084,0.50974,1.01043,0.000512268,0.000512268,0.000512268
164,812.896,0.43138,0.31283,0.98914,0.91657,0.86631,0.995,0.92306,0.47937,0.47568,0.99471,0.000506609,0.000506609,0.000506609
165,817.77,0.43885,0.32395,1.00227,0.85242,0.97378,0.995,0.93025,0.46648,0.3818,0.97707,0.00050095,0.00050095,0.00050095
166,822.615,0.43403,0.31003,0.99565,0.83999,0.9879,0.995,0.94302,0.4357,0.41028,0.98378,0.000495291,0.000495291,0.000495291
167,827.507,0.42526,0.30426,0.98371,0.90314,0.9967,0.995,0.9279,0.48774,0.29424,1.05828,0.000489633,0.000489633,0.000489633
168,832.361,0.44071,0.32314,1.00929,0.96517,0.93472,0.995,0.89003,0.56896,0.34768,1.14985,0.000483974,0.000483974,0.000483974
169,837.221,0.45297,0.32253,1.00795,0.90653,0.99684,0.995,0.91207,0.50086,0.3075,1.0487,0.000478315,0.000478315,0.000478315
170,842.069,0.43327,0.31423,1.00182,0.9829,0.96538,0.995,0.91222,0.47696,0.28713,1.04764,0.000472656,0.000472656,0.000472656
171,847.007,0.43731,0.31588,0.99647,0.96779,0.99272,0.995,0.89814,0.48317,0.25343,1.07763,0.000466997,0.000466997,0.000466997
172,851.855,0.41748,0.30691,0.98563,0.96125,1,0.995,0.92364,0.46402,0.26357,1.05299,0.000461338,0.000461338,0.000461338
173,856.728,0.41955,0.30672,0.98003,0.87502,0.99562,0.995,0.90556,0.50244,0.32327,1.04748,0.00045568,0.00045568,0.00045568
174,861.618,0.43149,0.31267,0.98682,0.89493,0.91939,0.995,0.93293,0.46158,0.38036,1.03315,0.000450021,0.000450021,0.000450021
175,866.502,0.42825,0.31791,1.00611,0.86113,0.89827,0.98738,0.90765,0.48061,0.54679,1.04182,0.000444362,0.000444362,0.000444362
176,871.392,0.41627,0.30301,0.98416,0.87671,0.87574,0.995,0.91468,0.50525,0.56931,1.07228,0.000438703,0.000438703,0.000438703
177,876.244,0.41597,0.30092,0.98407,0.9185,0.87017,0.995,0.93614,0.48749,0.4641,1.04928,0.000433044,0.000433044,0.000433044
178,881.116,0.43408,0.3139,0.99552,0.96883,0.87174,0.995,0.92417,0.50804,0.33506,1.08348,0.000427385,0.000427385,0.000427385
179,886.018,0.42766,0.30872,0.98813,0.95678,0.91475,0.995,0.89569,0.54141,0.33558,1.13351,0.000421726,0.000421726,0.000421726
180,890.952,0.43097,0.30418,0.99126,0.96197,0.9067,0.995,0.91441,0.52011,0.33925,1.12683,0.000416068,0.000416068,0.000416068
181,895.924,0.42631,0.30084,0.98874,0.91035,0.94495,0.995,0.91423,0.49346,0.31192,1.07332,0.000410409,0.000410409,0.000410409
